ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000007540510;9,61818160329546;13082;8946;10;6;309,50299381;421,356950830578
6800110000000008550213;8,67564109502695;9894;6807;65;36;299,096300483;317,954323201639
6800110000000010620106;3,13239440195997;10721;7621;7;12;313,827789757;330,14699698146
6800110000000011000115;19,4006251081824;11370;7315;16;10;351,233666967;102,719761158116
6800110000000013170210;10,4031248956919;8287;5794;8;15;152,253415875;339,348743496408
6800110000000013300610;4,0710144860373;14909;10084;5;15;40,0811599147;320,92931537142
6800110000000013340113;6,39295780448846;19381;13103;2;8;165,087442963;212,047151650612
6800110000000014100136;16,7900862724617;14137;9755;29;24;232,487356222;124,88593039043
6800110000000014110133;31,1849995943216;12206;8335;153;126;710,036618549;132,908823036256
6800110000000001890134;57,2272713112109;2603;1702;283;334;2787,97164726;3349,20902240819
6800110000000008610331;27,5966674259731;11562;7894;95;115;242,763006509;48,1917254443708
6800110000000002780105;19,7720000648499;14053;9759;103;71;39,5511852895;153,163118721274
6800110000000002780409;15,0240529856899;14840;10321;139;83;260,789713605;59,2899988168605
6800110000000004210205;8,67812493294477;4339;3031;13;14;381,701509613;459,2755238955
6800110000000005260306;15,5432692949588;7117;5035;6;11;95,067264279;61,9720941451946
6800110000000004730114;20,5099210247161;14743;10140;337;315;89,9560547325;187,661229002277
6800110000000007420716;5,6467105185515;18253;12668;30;22;314,794977481;417,302366969044
6800110000000011950113;13,4031253762543;12832;8456;14;4;82,6911392057;516,544756989664
6800110000000012410111;2,17499999816601;5153;3726;2;1;171,365194748;556,610421867898
6800110000000012420114;5,9749998788942;4821;3478;4;2;285,639044332;710,985597149596
6800110000000015020342;55,4580629102645;1455;891;39;156;1222,59571953;785,799634675073
6800110000000002780603;32,2618852150245;15516;10609;135;97;455,990750544;179,918743870125
6800110000000004230216;12,6143441991728;12756;8773;207;219;189,417139047;127,516235792668
6800110000000005670114;17,7147544602879;5995;4115;5;7;102,464399524;336,466496936939
6800110000000006580307;9,95212770839955;12173;8538;78;56;229,973245006;331,05836302993
6800110000000008610205;18,0439516142491;12817;8889;101;112;101,538086616;156,187283584879
6800110000000010820304;6,84109588518535;11273;8057;4;8;212,385018211;178,983747991288
6800110000000011940103;8,63717949212107;19162;12767;9;11;297,722028616;74,9475545638484
6800110000000001900157;19,6290783729959;16357;11227;153;82;375,314991668;184,51297277071
6800110000000001900202;21,5680648672965;13937;9415;223;88;33,772101933;168,318352260757
6800110000000002800905;44,495402258018;12528;8473;426;217;245,924612899;99,9701541279061
6800110000000004740145;36,5518348654476;6993;4741;416;362;582,590691144;651,928801334571
6800110000000010820827;27,4895833103607;14331;9416;1836;1102;257,037898595;493,306998196242
6800110000000015020724;28,312121190808;3728;2449;576;365;814,75809615;1279,38388287768
6800110000000001020611;29,4218041529333;14124;9265;94;90;298,320503788;510,093452414466
6800110000000001020832;28,8145635128021;10316;6635;91;93;395,216175099;310,359505879461
6800110000000002030203;21,2462184649556;14848;10166;137;99;468,215851662;232,056334613448
6800110000000002780116;27,048255775326;15390;10682;115;80;110,697708674;54,2947396475073
6800110000000008560135;8,02891566029873;14800;10483;49;27;276,980426978;143,230480938645
6800110000000009440107;8,66158538111826;10307;6978;3;2;264,425039134;217,858957138642
6800110000000009630228;12,7615943965705;9961;7035;7;12;323,185353995;243,971023048706
6800110000000010820705;34,9343133510328;11103;7338;1415;708;36,5177964835;265,878817957454
6800110000000012430603;16,0343137682945;4070;2615;23;23;686,243314033;880,990395759054
6800110000000003200402;15,3131871852246;9245;6319;7;8;152,295141255;560,535397977744
6800110000000004180306;18,2368751749396;6672;4720;10;14;131,107022162;69,4243994978403
6800110000000004240306;18,7595238742374;4857;3506;13;18;200,573980368;98,7324436239126
6800110000000004750126;22,0974136960917;8504;5812;332;287;407,413993163;422,796020527515
6800110000000006510132;16,3054054524447;6593;4626;6;6;443,597347425;299,984551082268
6800110000000007970213;5,98611118616881;6439;4247;3;2;831,956634008;605,802208437335
6800110000000013090108;10,2683675118855;8028;5506;15;7;164,617007361;370,303743675533
6800110000000014110418;15,2827957266121;8334;5660;161;126;983,086804567;210,539206299105
6800110000000014110345;33,1869922265774;10686;7271;174;143;836,361558367;48,2535865649756
6800110000000001020820;35,0724767282468;12617;8108;50;52;492,141865767;301,640068829147
6800110000000001020831;28,0670213039885;9631;6194;69;78;401,791268043;284,207223397123
6800110000000001880215;52,1589041540067;6708;4339;209;247;374,362520415;238,590982427427
6800110000000007420721;5,78954247283001;17362;11957;95;85;359,416849129;350,907372284519
6800110000000007420824;3,18701298573574;17803;11951;10;16;337,085558437;399,812408963707
6800110000000001900101;15,3925371027704;15122;10411;152;81;423,527240786;254,555332656773
6800110000000002760122;24,0053193087273;11473;7713;128;87;283,384333923;184,356444744894
6800110000000002850325;20,6878376544059;9442;6328;331;171;445,567367035;351,653102330478
6800110000000004220107;33,5969073502059;7454;5115;430;388;460,29858711;419,666420998267
6800110000000005270104;14,2774195421127;10363;7139;8;12;200,752750775;382,868768370696
6800110000000005260102;9,23194454113642;4863;3450;14;14;570,060268533;685,901842639649
6800110000000011000423;39,2402442780937;4225;2707;110;199;1117,28844789;605,063905749324
6800110000000013090336;6,55857141358512;3680;2504;6;3;135,676582108;301,063701729543
6800110000000014110249;28,3056741065167;12923;8807;109;87;557,73888716;304,945747222033
6800110000000014110255;35,556784926142;12939;8827;153;123;622,509897561;191,559990375385
6800110000000014110108;28,9978719357903;13932;9491;153;123;617,062386472;201,154723980422
6800110000000015020130;35,3480159630851;9159;5899;637;492;102,700492308;636,907183445585
6800110000000001020810;28,2883493321613;9411;6136;93;96;261,271054527;426,858184824354
6800110000000001880105;29,6777781674891;7829;5085;198;236;80,4977994691;302,598988863185
6800110000000002850201;31,2974267935052;11206;7526;377;198;379,581510438;353,049732531814
6800110000000011000421;39,6489130465881;4501;2897;111;200;1064,88374398;548,172133329404
6800110000000012380116;4,28596491811045;10731;7976;1;5;172,527934822;387,84678798778
6800110000000013340212;4,60069455092566;21467;14749;5;12;66,0526439585;400,409985852322
6800110000000014100122;26,1527999887466;13988;9573;48;44;434,1816073;211,723172377104
6800110000000001900212;15,2203703324;13544;9153;158;67;66,430757158;85,5881816994019
6800110000000002030426;37,1501991701316;16254;11272;134;82;246,40378379;167,242157677254
6800110000000006360304;3,24562501087785;11698;8378;4;4;58,0305923299;337,739216431839
6800110000000015020314;41,4871801657554;1782;1070;42;192;1114,83406422;713,270789193002
6800110000000001010319;19,8138890181269;11851;7962;200;112;385,555880491;513,659626913476
6800110000000001020206;11,8632142118045;14517;9953;167;101;288,011099325;351,874112093691
6800110000000001020620;21,2787317455705;15610;10145;96;92;328,041590122;481,496732606746
6800110000000007420424;8,48245614113515;13795;9218;9;13;377,964214653;435,390349609631
6800110000000007420520;6,48620685318421;21126;14618;44;29;210,443709838;97,9498526665671
